,ticker,periodOfReport,linkToFilingDetails,formType,cik
41,FB,2018-09-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000067/fb-09302018x10q.htm,10-Q,1326801
42,FB,2018-06-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000057/fb-06302018x10q.htm,10-Q,1326801
43,FB,2018-03-31,https://www.sec.gov/Archives/edgar/data/1326801/000132680118000032/fb-03312018x10q.htm,10-Q,1326801
44,FB,2017-09-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000053/fb-09302017x10q.htm,10-Q,1326801
45,FB,2017-06-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000038/fb-06302017x10q.htm,10-Q,1326801
46,FB,2017-03-31,https://www.sec.gov/Archives/edgar/data/1326801/000132680117000024/fb-03312017x10q.htm,10-Q,1326801
47,FB,2016-09-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000087/fb-9302016x10q.htm,10-Q,1326801
48,FB,2016-06-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000082/fb-6302016x10q.htm,10-Q,1326801
49,FB,2016-03-31,https://www.sec.gov/Archives/edgar/data/1326801/000132680116000067/fb-3312016x10q.htm,10-Q,1326801
50,FB,2015-09-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000032/fb-9302015x10q.htm,10-Q,1326801
51,FB,2015-06-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000028/fb-6302015x10q.htm,10-Q,1326801
52,FB,2015-03-31,https://www.sec.gov/Archives/edgar/data/1326801/000132680115000015/fb-3312015x10q.htm,10-Q,1326801
53,FB,2014-09-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000068/fb-9302014x10q.htm,10-Q,1326801
54,FB,2014-06-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000032/fb-6302014x10q.htm,10-Q,1326801
55,FB,2014-03-31,https://www.sec.gov/Archives/edgar/data/1326801/000132680114000023/fb-3312014x10q.htm,10-Q,1326801
56,FB,2013-09-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000031/fb-9302013x10q.htm,10-Q,1326801
57,FB,2013-06-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000019/fb-6302013x10q.htm,10-Q,1326801
58,FB,2013-03-31,https://www.sec.gov/Archives/edgar/data/1326801/000132680113000011/fb-3312013x10q.htm,10-Q,1326801
59,FB,2012-09-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680112000006/fb-9302012x10q.htm,10-Q,1326801
60,FB,2012-06-30,https://www.sec.gov/Archives/edgar/data/1326801/000119312512325997/d371464d10q.htm,10-Q,1326801
