date,ticker,pos,neg,neu,compound,ticker,close,volume
2020-11-19,MCHP,0.099,0.04,0.862,1.0,MCHP,127.51,1344138.0
2020-11-20,MCHP,0.099,0.04,0.862,1.0,MCHP,130.98,6956870.0
2020-11-23,MCHP,0.099,0.04,0.862,1.0,MCHP,131.62,2411214.0
2020-11-24,MCHP,0.099,0.04,0.862,1.0,MCHP,133.56,1339162.0
2020-11-25,MCHP,0.099,0.04,0.862,1.0,MCHP,131.92,1224421.0
2020-11-27,MCHP,0.099,0.04,0.862,1.0,MCHP,133.01,666162.0
2020-11-30,MCHP,0.099,0.04,0.862,1.0,MCHP,134.39,1877764.0
2020-12-01,MCHP,0.099,0.04,0.862,1.0,MCHP,136.97,2354022.0
2020-12-02,MCHP,0.099,0.04,0.862,1.0,MCHP,137.38,1646792.0
2020-12-03,MCHP,0.099,0.04,0.862,1.0,MCHP,138.51,2982554.0
2020-12-04,MCHP,0.099,0.04,0.862,1.0,MCHP,144.24,2247170.0
2020-12-07,MCHP,0.099,0.04,0.862,1.0,MCHP,144.99,1232457.0
2020-12-08,MCHP,0.099,0.04,0.862,1.0,MCHP,144.75,1318814.0
2020-12-09,MCHP,0.099,0.04,0.862,1.0,MCHP,139.8,2690693.0
2020-12-10,MCHP,0.099,0.04,0.862,1.0,MCHP,139.91,1559221.0
2020-12-11,MCHP,0.099,0.04,0.862,1.0,MCHP,140.61,1532358.0
2020-12-14,MCHP,0.099,0.04,0.862,1.0,MCHP,141.5,1382874.0
2020-12-15,MCHP,0.099,0.04,0.862,1.0,MCHP,141.16,2041285.0
2020-12-16,MCHP,0.099,0.04,0.862,1.0,MCHP,138.82,3000823.0
2020-12-17,MCHP,0.099,0.04,0.862,1.0,MCHP,139.72,1550503.0
2020-12-18,MCHP,0.099,0.04,0.862,1.0,MCHP,138.01,4519363.0
2020-12-21,MCHP,0.099,0.04,0.862,1.0,MCHP,138.0,2215265.0
2020-12-22,MCHP,0.099,0.04,0.862,1.0,MCHP,136.95,1984010.0
2020-12-23,MCHP,0.099,0.04,0.862,1.0,MCHP,136.0,1057510.0
2020-12-24,MCHP,0.099,0.04,0.862,1.0,MCHP,136.77,451867.0
2020-12-28,MCHP,0.099,0.04,0.862,1.0,MCHP,136.25,784837.0
2020-12-29,MCHP,0.099,0.04,0.862,1.0,MCHP,135.16,968666.0
2020-12-30,MCHP,0.099,0.04,0.862,1.0,MCHP,136.79,1393759.0
2020-12-31,MCHP,0.091,0.038,0.871,1.0,MCHP,138.11,797060.0
2021-01-04,MCHP,0.091,0.038,0.871,1.0,MCHP,137.18,2148511.0
2021-01-05,MCHP,0.091,0.038,0.871,1.0,MCHP,140.19,1919792.0
2021-01-06,MCHP,0.091,0.038,0.871,1.0,MCHP,142.88,2908653.0
2021-01-07,MCHP,0.091,0.038,0.871,1.0,MCHP,148.7,3330380.0
2021-01-08,MCHP,0.091,0.038,0.871,1.0,MCHP,147.4,2612774.0
2021-01-11,MCHP,0.091,0.038,0.871,1.0,MCHP,147.81,2871196.0
2021-01-12,MCHP,0.091,0.038,0.871,1.0,MCHP,149.32,2998258.0
2021-01-13,MCHP,0.091,0.038,0.871,1.0,MCHP,150.7,1383336.0
2021-01-14,MCHP,0.091,0.038,0.871,1.0,MCHP,153.28,1535100.0
2021-01-15,MCHP,0.091,0.038,0.871,1.0,MCHP,148.56,1560697.0
2021-01-19,MCHP,0.091,0.038,0.871,1.0,MCHP,153.25,1245543.0
2021-01-20,MCHP,0.091,0.038,0.871,1.0,MCHP,152.38,1314103.0
2021-01-21,MCHP,0.091,0.038,0.871,1.0,MCHP,152.32,1125489.0
2021-01-22,MCHP,0.091,0.038,0.871,1.0,MCHP,150.13,984094.0
2021-01-25,MCHP,0.091,0.038,0.871,1.0,MCHP,149.18,1382899.0
2021-01-26,MCHP,0.091,0.038,0.871,1.0,MCHP,144.98,1700533.0
2021-01-27,MCHP,0.091,0.038,0.871,1.0,MCHP,133.04,3537673.0
2021-01-28,MCHP,0.091,0.038,0.871,1.0,MCHP,138.65,3000232.0
2021-01-29,MCHP,0.091,0.038,0.871,1.0,MCHP,136.11,1737627.0
2021-02-01,MCHP,0.091,0.038,0.871,1.0,MCHP,142.25,1982966.0
2021-02-02,MCHP,0.091,0.038,0.871,1.0,MCHP,143.92,1589572.0
2021-02-03,MCHP,0.091,0.038,0.871,1.0,MCHP,139.87,2480402.0
2021-02-04,MCHP,0.091,0.038,0.871,1.0,MCHP,143.74,4163882.0
2021-02-05,MCHP,0.091,0.038,0.871,1.0,MCHP,145.44,2979970.0
2021-02-08,MCHP,0.091,0.038,0.871,1.0,MCHP,152.47,2492279.0
2021-02-09,MCHP,0.091,0.038,0.871,1.0,MCHP,152.05,2709616.0
2021-02-10,MCHP,0.091,0.038,0.871,1.0,MCHP,151.64,1881900.0
2021-02-11,MCHP,0.091,0.038,0.871,1.0,MCHP,157.63,1914686.0
2021-02-12,MCHP,0.091,0.038,0.871,1.0,MCHP,159.55,1694734.0
2021-02-16,MCHP,0.091,0.038,0.871,1.0,MCHP,162.24,2176880.0
2021-02-17,MCHP,0.091,0.038,0.871,1.0,MCHP,163.05,4591748.0
2021-02-18,MCHP,0.091,0.038,0.871,1.0,MCHP,156.54,2696114.0
2021-02-19,MCHP,0.091,0.038,0.871,1.0,MCHP,162.35,1800950.0
2021-02-22,MCHP,0.091,0.038,0.871,1.0,MCHP,155.19,1976528.0
2021-02-23,MCHP,0.091,0.038,0.871,1.0,MCHP,154.93,2354958.0
2021-02-24,MCHP,0.091,0.038,0.871,1.0,MCHP,157.25,2748130.0
2021-02-25,MCHP,0.091,0.038,0.871,1.0,MCHP,147.72,2473184.0
2021-02-26,MCHP,0.091,0.038,0.871,1.0,MCHP,152.63,3110113.0
2021-03-01,MCHP,0.091,0.038,0.871,1.0,MCHP,158.1,2020735.0
2021-03-02,MCHP,0.091,0.038,0.871,1.0,MCHP,152.09,1659228.0
2021-03-03,MCHP,0.091,0.038,0.871,1.0,MCHP,148.37,2821676.0
2021-03-04,MCHP,0.091,0.038,0.871,1.0,MCHP,140.09,2549097.0
2021-03-05,MCHP,0.091,0.038,0.871,1.0,MCHP,145.44,3321918.0
2021-03-08,MCHP,0.091,0.038,0.871,1.0,MCHP,136.75,2285239.0
2021-03-09,MCHP,0.091,0.038,0.871,1.0,MCHP,145.46,2450126.0
2021-03-10,MCHP,0.091,0.038,0.871,1.0,MCHP,141.32,1965051.0
2021-03-11,MCHP,0.091,0.038,0.871,1.0,MCHP,148.21,2758458.0
2021-03-12,MCHP,0.091,0.038,0.871,1.0,MCHP,147.45,1517310.0
2021-03-15,MCHP,0.091,0.038,0.871,1.0,MCHP,149.56,1639746.0
2021-03-16,MCHP,0.091,0.038,0.871,1.0,MCHP,149.9,2188231.0
2021-03-17,MCHP,0.091,0.038,0.871,1.0,MCHP,153.82,1791592.0
2021-03-18,MCHP,0.091,0.038,0.871,1.0,MCHP,145.49,2060507.0
2021-03-19,MCHP,0.091,0.038,0.871,1.0,MCHP,150.06,5234020.0
2021-03-22,MCHP,0.091,0.038,0.871,1.0,MCHP,154.86,2408284.0
2021-03-23,MCHP,0.091,0.038,0.871,1.0,MCHP,149.98,2466761.0
2021-03-24,MCHP,0.091,0.038,0.871,1.0,MCHP,146.76,1754725.0
2021-03-25,MCHP,0.091,0.038,0.871,1.0,MCHP,147.16,1729697.0
2021-03-26,MCHP,0.091,0.038,0.871,1.0,MCHP,155.42,2171506.0
2021-03-29,MCHP,0.091,0.038,0.871,1.0,MCHP,150.85,1712656.0
2021-03-30,MCHP,0.091,0.038,0.871,1.0,MCHP,150.11,1397112.0
2021-03-31,MCHP,0.131,0.06,0.81,1.0,MCHP,155.22,2051678.0
2021-04-01,MCHP,0.131,0.06,0.81,1.0,MCHP,160.17,2067809.0
2021-04-05,MCHP,0.131,0.06,0.81,1.0,MCHP,163.82,2095263.0
2021-04-06,MCHP,0.131,0.06,0.81,1.0,MCHP,160.74,1420906.0
2021-04-07,MCHP,0.131,0.06,0.81,1.0,MCHP,159.71,1117992.0
2021-04-08,MCHP,0.131,0.06,0.81,1.0,MCHP,161.79,1458987.0
2021-04-09,MCHP,0.131,0.06,0.81,1.0,MCHP,161.73,1322901.0
2021-04-12,MCHP,0.131,0.06,0.81,1.0,MCHP,158.83,1181434.0
2021-04-13,MCHP,0.131,0.06,0.81,1.0,MCHP,157.33,1307229.0
2021-04-14,MCHP,0.131,0.06,0.81,1.0,MCHP,156.32,1065568.0
2021-04-15,MCHP,0.131,0.06,0.81,1.0,MCHP,160.52,1097316.0
2021-04-16,MCHP,0.131,0.06,0.81,1.0,MCHP,158.27,850033.0
2021-04-19,MCHP,0.131,0.06,0.81,1.0,MCHP,154.02,1180769.0
2021-04-20,MCHP,0.131,0.06,0.81,1.0,MCHP,149.61,1319820.0
2021-04-21,MCHP,0.131,0.06,0.81,1.0,MCHP,154.65,1878127.0
2021-04-22,MCHP,0.131,0.06,0.81,1.0,MCHP,151.37,1649535.0
2021-04-23,MCHP,0.131,0.06,0.81,1.0,MCHP,156.38,2334463.0
2021-04-26,MCHP,0.131,0.06,0.81,1.0,MCHP,159.16,1915337.0
2021-04-27,MCHP,0.131,0.06,0.81,1.0,MCHP,157.49,1836364.0
2021-04-28,MCHP,0.131,0.06,0.81,1.0,MCHP,154.62,1475386.0
2021-04-29,MCHP,0.131,0.06,0.81,1.0,MCHP,155.91,995210.0
2021-04-30,MCHP,0.131,0.06,0.81,1.0,MCHP,150.29,1996733.0
2021-05-03,MCHP,0.131,0.06,0.81,1.0,MCHP,148.13,1608863.0
2021-05-04,MCHP,0.131,0.06,0.81,1.0,MCHP,144.88,2865099.0
2021-05-05,MCHP,0.131,0.06,0.81,1.0,MCHP,145.64,2072249.0
2021-05-06,MCHP,0.131,0.06,0.81,1.0,MCHP,146.25,2264303.0
2021-05-07,MCHP,0.131,0.06,0.81,1.0,MCHP,149.75,2440625.0
2021-05-10,MCHP,0.131,0.06,0.81,1.0,MCHP,143.31,2192160.0
2021-05-11,MCHP,0.131,0.06,0.81,1.0,MCHP,145.51,2182064.0
2021-05-12,MCHP,0.131,0.06,0.81,1.0,MCHP,139.14,2511489.0
2021-05-13,MCHP,0.131,0.06,0.81,1.0,MCHP,142.12,1583962.0
2021-05-14,MCHP,0.131,0.06,0.81,1.0,MCHP,145.48,1524506.0
2021-05-17,MCHP,0.131,0.06,0.81,1.0,MCHP,143.52,1112933.0
2021-05-18,MCHP,0.131,0.06,0.81,1.0,MCHP,142.43,1375710.0
2021-05-19,MCHP,0.131,0.06,0.81,1.0,MCHP,146.99,2004028.0
2021-05-20,MCHP,0.131,0.06,0.81,1.0,MCHP,151.15,1953047.0
2021-05-21,MCHP,0.131,0.06,0.81,1.0,MCHP,149.81,1692656.0
2021-05-24,MCHP,0.131,0.06,0.81,1.0,MCHP,154.1,1408098.0
2021-05-25,MCHP,0.131,0.06,0.81,1.0,MCHP,154.75,1343079.0
2021-05-26,MCHP,0.131,0.06,0.81,1.0,MCHP,155.54,1891323.0
2021-05-27,MCHP,0.131,0.06,0.81,1.0,MCHP,155.75,1676855.0
2021-05-28,MCHP,0.131,0.06,0.81,1.0,MCHP,156.95,1161913.0
2021-06-01,MCHP,0.131,0.06,0.81,1.0,MCHP,155.32,1316683.0
2021-06-02,MCHP,0.131,0.06,0.81,1.0,MCHP,155.49,1438751.0
2021-06-03,MCHP,0.131,0.06,0.81,1.0,MCHP,151.71,1863102.0
2021-06-04,MCHP,0.131,0.06,0.81,1.0,MCHP,155.38,1434212.0
2021-06-07,MCHP,0.131,0.06,0.81,1.0,MCHP,153.57,1084865.0
2021-06-08,MCHP,0.131,0.06,0.81,1.0,MCHP,152.61,881719.0
2021-06-09,MCHP,0.131,0.06,0.81,1.0,MCHP,151.81,1020353.0
2021-06-10,MCHP,0.131,0.06,0.81,1.0,MCHP,153.44,1179396.0
2021-06-11,MCHP,0.131,0.06,0.81,1.0,MCHP,154.09,711280.0
2021-06-14,MCHP,0.131,0.06,0.81,1.0,MCHP,155.76,1449734.0
2021-06-15,MCHP,0.131,0.06,0.81,1.0,MCHP,153.95,1132512.0
2021-06-16,MCHP,0.131,0.06,0.81,1.0,MCHP,152.39,1618421.0
2021-06-17,MCHP,0.131,0.06,0.81,1.0,MCHP,150.23,2246754.0
2021-06-18,MCHP,0.131,0.06,0.81,1.0,MCHP,145.62,3859364.0
2021-06-21,MCHP,0.131,0.06,0.81,1.0,MCHP,147.75,1680547.0
2021-06-22,MCHP,0.131,0.06,0.81,1.0,MCHP,145.88,2310083.0
2021-06-23,MCHP,0.131,0.06,0.81,1.0,MCHP,146.46,939185.0
2021-06-24,MCHP,0.131,0.06,0.81,1.0,MCHP,149.12,1982435.0
2021-06-25,MCHP,0.131,0.06,0.81,1.0,MCHP,148.77,2244238.0
2021-06-28,MCHP,0.131,0.06,0.81,1.0,MCHP,152.32,1877757.0
2021-06-29,MCHP,0.131,0.06,0.81,1.0,MCHP,152.82,1086203.0
2021-06-30,MCHP,0.094,0.038,0.868,1.0,MCHP,149.74,2065607.0
2021-07-01,MCHP,0.094,0.038,0.868,1.0,MCHP,147.7,1483810.0
2021-07-02,MCHP,0.094,0.038,0.868,1.0,MCHP,148.25,1500115.0
2021-07-06,MCHP,0.094,0.038,0.868,1.0,MCHP,146.13,2005197.0
2021-07-07,MCHP,0.094,0.038,0.868,1.0,MCHP,143.51,1858474.0
2021-07-08,MCHP,0.094,0.038,0.868,1.0,MCHP,141.02,1737907.0
2021-07-09,MCHP,0.094,0.038,0.868,1.0,MCHP,144.02,1637682.0
2021-07-12,MCHP,0.094,0.038,0.868,1.0,MCHP,146.19,1402962.0
2021-07-13,MCHP,0.094,0.038,0.868,1.0,MCHP,143.93,1427517.0
2021-07-14,MCHP,0.094,0.038,0.868,1.0,MCHP,143.54,2014229.0
2021-07-15,MCHP,0.094,0.038,0.868,1.0,MCHP,137.45,2873063.0
2021-07-16,MCHP,0.094,0.038,0.868,1.0,MCHP,133.76,1811041.0
2021-07-19,MCHP,0.094,0.038,0.868,1.0,MCHP,131.98,4261433.0
2021-07-20,MCHP,0.094,0.038,0.868,1.0,MCHP,137.03,3205465.0
2021-07-21,MCHP,0.094,0.038,0.868,1.0,MCHP,140.66,1789825.0
2021-07-22,MCHP,0.094,0.038,0.868,1.0,MCHP,138.38,2583431.0
2021-07-23,MCHP,0.094,0.038,0.868,1.0,MCHP,139.22,1034679.0
2021-07-26,MCHP,0.094,0.038,0.868,1.0,MCHP,139.39,1153568.0
2021-07-27,MCHP,0.094,0.038,0.868,1.0,MCHP,135.95,2029063.0
2021-07-28,MCHP,0.094,0.038,0.868,1.0,MCHP,137.88,1747347.0
2021-07-29,MCHP,0.094,0.038,0.868,1.0,MCHP,141.03,1246769.0
2021-07-30,MCHP,0.094,0.038,0.868,1.0,MCHP,143.12,1718054.0
2021-08-02,MCHP,0.094,0.038,0.868,1.0,MCHP,144.99,3640360.0
2021-08-03,MCHP,0.094,0.038,0.868,1.0,MCHP,146.82,2239799.0
2021-08-04,MCHP,0.094,0.038,0.868,1.0,MCHP,147.51,3015129.0
2021-08-05,MCHP,0.094,0.038,0.868,1.0,MCHP,149.78,1655517.0
2021-08-06,MCHP,0.094,0.038,0.868,1.0,MCHP,149.73,1516125.0
2021-08-09,MCHP,0.094,0.038,0.868,1.0,MCHP,149.5,1454146.0
2021-08-10,MCHP,0.094,0.038,0.868,1.0,MCHP,150.5,1706227.0
2021-08-11,MCHP,0.094,0.038,0.868,1.0,MCHP,150.47,1026085.0
2021-08-12,MCHP,0.094,0.038,0.868,1.0,MCHP,151.15,3481042.0
2021-08-13,MCHP,0.094,0.038,0.868,1.0,MCHP,151.57,1161501.0
2021-08-16,MCHP,0.094,0.038,0.868,1.0,MCHP,150.41,1495580.0
2021-08-17,MCHP,0.094,0.038,0.868,1.0,MCHP,145.69,2023646.0
2021-08-18,MCHP,0.094,0.038,0.868,1.0,MCHP,143.67,1490551.0
2021-08-19,MCHP,0.094,0.038,0.868,1.0,MCHP,144.25,1885902.0
2021-08-20,MCHP,0.094,0.038,0.868,1.0,MCHP,144.84,2652104.0
2021-08-23,MCHP,0.094,0.038,0.868,1.0,MCHP,147.88,2440654.0
2021-08-24,MCHP,0.094,0.038,0.868,1.0,MCHP,148.05,1145969.0
2021-08-25,MCHP,0.094,0.038,0.868,1.0,MCHP,151.45,2900686.0
2021-08-26,MCHP,0.094,0.038,0.868,1.0,MCHP,155.94,2578293.0
2021-08-27,MCHP,0.094,0.038,0.868,1.0,MCHP,159.38,2034934.0
2021-08-30,MCHP,0.094,0.038,0.868,1.0,MCHP,159.01,1449517.0
2021-08-31,MCHP,0.094,0.038,0.868,1.0,MCHP,157.36,2185394.0
2021-09-01,MCHP,0.094,0.038,0.868,1.0,MCHP,155.61,1938863.0
2021-09-02,MCHP,0.094,0.038,0.868,1.0,MCHP,156.27,1829040.0
2021-09-03,MCHP,0.094,0.038,0.868,1.0,MCHP,156.83,1038769.0
2021-09-07,MCHP,0.094,0.038,0.868,1.0,MCHP,156.03,1254004.0
2021-09-08,MCHP,0.094,0.038,0.868,1.0,MCHP,154.29,1175746.0
2021-09-09,MCHP,0.094,0.038,0.868,1.0,MCHP,155.97,1529784.0
2021-09-10,MCHP,0.094,0.038,0.868,1.0,MCHP,157.48,1917151.0
2021-09-13,MCHP,0.094,0.038,0.868,1.0,MCHP,160.7,1845379.0
2021-09-14,MCHP,0.094,0.038,0.868,1.0,MCHP,160.65,1800502.0
2021-09-15,MCHP,0.094,0.038,0.868,1.0,MCHP,162.19,1738923.0
2021-09-16,MCHP,0.094,0.038,0.868,1.0,MCHP,163.11,1692620.0
2021-09-17,MCHP,0.094,0.038,0.868,1.0,MCHP,161.1,5480159.0
2021-09-20,MCHP,0.094,0.038,0.868,1.0,MCHP,156.51,2950412.0
2021-09-21,MCHP,0.094,0.038,0.868,1.0,MCHP,157.29,2545230.0
