datetime,articles_compound_sentiment,articles_positive_sentiment,articles_neutral_sentiment,articles_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment
2012-12-10,,,,,0.8447857142857143,0.17657142857142857,0.775,0.04814285714285714
2012-12-11,,,,,0.67174,0.1718,0.7856,0.0424
2012-12-12,,,,,0.288425,0.12341666666666666,0.8036666666666666,0.07291666666666667
2012-12-13,,,,,0.33674166666666666,0.142,0.8181666666666666,0.03975
2012-12-14,,,,,0.3890416666666667,0.08883333333333333,0.8586666666666667,0.05241666666666667
2012-12-15,,,,,0.28550000000000003,0.071375,0.8748750000000001,0.053625
2012-12-16,,,,,0.8271,0.212,0.788,0.0
2012-12-17,,,,,0.3688578947368421,0.12857894736842104,0.8293157894736842,0.04205263157894737
2012-12-18,,,,,0.3074,0.128375,0.8465625,0.025125
2012-12-19,,,,,0.36456,0.0884,0.8824000000000001,0.029133333333333334
2012-12-20,,,,,0.005941666666666678,0.11766666666666666,0.77425,0.10825
2012-12-21,,,,,0.47530666666666666,0.1434666666666667,0.8289333333333333,0.027666666666666666
2012-12-22,,,,,0.11774666666666667,0.07959999999999999,0.8886666666666667,0.03173333333333333
2012-12-23,,,,,0.45844999999999997,0.124,0.7755,0.1005
2012-12-24,,,,,0.42479999999999996,0.23349999999999999,0.7105,0.055249999999999994
2012-12-25,,,,,0.11098333333333332,0.10633333333333334,0.8103333333333333,0.08333333333333333
2012-12-26,,,,,0.2764285714285714,0.06857142857142857,0.874,0.05742857142857143
2012-12-27,,,,,0.5227700000000001,0.0917,0.8901,0.0182
2012-12-28,,,,,0.380375,0.146625,0.823125,0.03025
2012-12-29,,,,,0.37698181818181814,0.103,0.8329090909090909,0.064
2012-12-30,,,,,-0.014225000000000002,0.19749999999999998,0.74175,0.06075
2012-12-31,,,,,-0.038275,0.00875,0.9775,0.01375
2013-01-01,,,,,0.1675333333333333,0.10433333333333333,0.8691666666666666,0.026333333333333334
2013-01-02,,,,,0.05507333333333333,0.09313333333333333,0.8536666666666667,0.053266666666666664
2013-01-03,,,,,0.4524714285714286,0.09242857142857143,0.8494285714285714,0.058
2013-01-04,,,,,0.34464545454545453,0.13363636363636364,0.8129090909090909,0.05336363636363637
2013-01-05,,,,,0.34249999999999997,0.058,0.8734999999999999,0.0685
2013-01-06,,,,,,,,
2013-01-07,,,,,0.04341250000000001,0.053250000000000006,0.91275,0.034125
2013-01-08,,,,,0.3979,0.1165,0.8835,0.0
2013-01-09,,,,,0.6808,0.162,0.838,0.0
2013-01-10,,,,,0.3301571428571428,0.10785714285714286,0.8438571428571429,0.048285714285714286
2013-01-11,,,,,0.32980624999999997,0.087875,0.8481875,0.0639375
2013-01-12,,,,,0.4835,0.119,0.8406,0.040600000000000004
2013-01-13,,,,,0.11315,0.078,0.879,0.043
2013-01-14,,,,,0.4993142857142857,0.16042857142857142,0.8024285714285714,0.03728571428571429
2013-01-15,,,,,0.24182,0.1406,0.8116,0.047599999999999996
2013-01-16,,,,,,,,
2013-01-17,,,,,,,,
2013-01-18,,,,,,,,
2013-01-19,,,,,,,,
2013-01-20,,,,,,,,
2013-01-21,,,,,,,,
2013-01-22,,,,,,,,
2013-01-23,,,,,,,,
2013-01-24,,,,,,,,
2013-01-25,,,,,,,,
2013-01-26,,,,,,,,
2013-01-27,,,,,,,,
2013-01-28,,,,,,,,
2013-01-29,,,,,,,,
2013-01-30,,,,,,,,
2013-01-31,,,,,,,,
2013-02-01,,,,,,,,
2013-02-02,,,,,,,,
2013-02-03,,,,,,,,
2013-02-04,,,,,,,,
2013-02-05,,,,,,,,
2013-02-06,,,,,,,,
2013-02-07,,,,,,,,
2013-02-08,,,,,,,,
2013-02-09,,,,,,,,
2013-02-10,,,,,,,,
2013-02-11,,,,,,,,
2013-02-12,,,,,,,,
2013-02-13,,,,,,,,
2013-02-14,,,,,,,,
2013-02-15,,,,,,,,
2013-02-16,,,,,,,,
2013-02-17,,,,,,,,
2013-02-18,,,,,,,,
2013-02-19,,,,,,,,
2013-02-20,,,,,0.27615,0.086,0.851,0.063
2013-02-21,,,,,-0.18133749999999998,0.082125,0.845875,0.071875
