,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2020-06-16,1.0,0.121,0.85,0.029,-0.6249,0.083,0.716,0.201,21476019.0,33.49
2020-06-17,1.0,0.121,0.85,0.029,-0.6249,0.083,0.716,0.201,14827742.0,33.29
2020-06-18,1.0,0.121,0.85,0.029,0.6131,0.105,0.801,0.093,15495838.0,33.4
2020-06-19,1.0,0.121,0.85,0.029,0.6151,0.086,0.869,0.0455,29426285.0,32.3
2020-06-20,1.0,0.121,0.85,0.029,0.9084,0.123,0.846,0.03,29426285.0,32.3
2020-06-21,1.0,0.121,0.85,0.029,0.749,0.197,0.803,0.0,29426285.0,32.3
2020-06-22,1.0,0.121,0.85,0.029,0.749,0.197,0.803,0.0,17790276.0,32.68
2020-06-23,1.0,0.121,0.85,0.029,-0.765,0.037,0.78,0.183,13622126.0,33.05
2020-06-24,1.0,0.121,0.85,0.029,-0.4777,0.023,0.924,0.052,29477229.0,30.46
2020-06-25,1.0,0.121,0.85,0.029,-0.4777,0.023,0.924,0.052,19142839.0,30.58
2020-06-26,1.0,0.121,0.85,0.029,-0.48295,0.029,0.9219999999999999,0.049,46482331.0,29.61
2020-06-27,1.0,0.121,0.85,0.029,-0.48295,0.029,0.9219999999999999,0.049,46482331.0,29.61
2020-06-28,1.0,0.121,0.85,0.029,0.2797,0.133,0.723,0.144,46482331.0,29.61
2020-06-29,1.0,0.121,0.85,0.029,0.2797,0.133,0.723,0.144,20795402.0,29.63
2020-06-30,1.0,0.099,0.859,0.042,0.2797,0.133,0.723,0.144,21282810.0,31.08
2020-07-01,1.0,0.099,0.859,0.042,0.6808,0.123,0.877,0.0,13611544.0,30.43
2020-07-02,1.0,0.099,0.859,0.042,0.6808,0.123,0.877,0.0,14981137.0,30.68
2020-07-03,1.0,0.099,0.859,0.042,0.6808,0.123,0.877,0.0,14981137.0,30.68
2020-07-04,1.0,0.099,0.859,0.042,0.8236,0.198,0.802,0.0,14981137.0,30.68
2020-07-05,1.0,0.099,0.859,0.042,0.124725,0.11299999999999999,0.74425,0.14325,14981137.0,30.68
2020-07-06,1.0,0.099,0.859,0.042,0.1629909090909091,0.07943181818181819,0.8762272727272727,0.04431818181818182,42392222.0,32.52
2020-07-07,1.0,0.099,0.859,0.042,0.5326500000000001,0.1855,0.8145,0.0,34877268.0,32.82
2020-07-08,1.0,0.099,0.859,0.042,-0.08205000000000001,0.1245,0.798,0.078,24609369.0,33.93
2020-07-09,1.0,0.099,0.859,0.042,-0.08205000000000001,0.1245,0.798,0.078,25061818.0,33.15
2020-07-10,1.0,0.099,0.859,0.042,-0.08205000000000001,0.1245,0.798,0.078,13632289.0,33.14
2020-07-11,1.0,0.099,0.859,0.042,0.9364,0.16866666666666666,0.7833333333333333,0.047999999999999994,13632289.0,33.14
