,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2020-08-17,1.0,0.099,0.859,0.042,-0.7994,0.095,0.809,0.096,411121.0,592.03
2020-08-18,1.0,0.099,0.859,0.042,-0.7994,0.095,0.809,0.096,456208.0,589.21
2020-08-19,1.0,0.099,0.859,0.042,-0.7994,0.095,0.809,0.096,418702.0,589.75
2020-08-20,1.0,0.099,0.859,0.042,-0.7994,0.095,0.809,0.096,552425.0,583.36
2020-08-21,1.0,0.099,0.859,0.042,-0.7994,0.095,0.809,0.096,418503.0,584.04
2020-08-22,1.0,0.099,0.859,0.042,-0.7994,0.095,0.809,0.096,418503.0,584.04
2020-08-23,1.0,0.099,0.859,0.042,-0.7994,0.095,0.809,0.096,418503.0,584.04
2020-08-24,1.0,0.099,0.859,0.042,-0.7994,0.095,0.809,0.096,381895.0,591.45
2020-08-25,1.0,0.099,0.859,0.042,0.9896,0.153,0.765,0.082,373289.0,591.15
2020-08-26,1.0,0.099,0.859,0.042,0.9896,0.153,0.765,0.082,540161.0,592.1
2020-08-27,1.0,0.099,0.859,0.042,0.9896,0.153,0.765,0.082,428904.0,594.98
2020-08-28,1.0,0.099,0.859,0.042,0.9896,0.153,0.765,0.082,436069.0,601.06
2020-08-29,1.0,0.099,0.859,0.042,0.9896,0.153,0.765,0.082,436069.0,601.06
2020-08-30,1.0,0.099,0.859,0.042,0.9896,0.153,0.765,0.082,436069.0,601.06
2020-08-31,1.0,0.099,0.859,0.042,0.9896,0.153,0.765,0.082,581734.0,594.19
2020-09-01,1.0,0.099,0.859,0.042,0.9896,0.153,0.765,0.082,402818.0,596.24
2020-09-02,1.0,0.099,0.859,0.042,0.9896,0.153,0.765,0.082,684165.0,608.0
2020-09-03,1.0,0.099,0.859,0.042,-0.9417,0.039,0.861,0.1,739199.0,579.12
2020-09-04,1.0,0.099,0.859,0.042,-0.9417,0.039,0.861,0.1,822107.0,564.63
2020-09-05,1.0,0.099,0.859,0.042,-0.9417,0.039,0.861,0.1,822107.0,564.63
2020-09-06,1.0,0.099,0.859,0.042,-0.9417,0.039,0.861,0.1,822107.0,564.63
2020-09-07,1.0,0.099,0.859,0.042,-0.9417,0.039,0.861,0.1,822107.0,564.63
2020-09-08,1.0,0.099,0.859,0.042,-0.9417,0.039,0.861,0.1,837253.0,552.54
2020-09-09,1.0,0.099,0.859,0.042,0.5574,0.217,0.783,0.0,830507.0,560.18
2020-09-10,1.0,0.099,0.859,0.042,0.5574,0.217,0.783,0.0,896239.0,543.31
2020-09-11,1.0,0.099,0.859,0.042,0.5574,0.217,0.783,0.0,660875.0,541.2
2020-09-12,1.0,0.099,0.859,0.042,0.5574,0.217,0.783,0.0,660875.0,541.2
2020-09-13,1.0,0.099,0.859,0.042,0.5574,0.217,0.783,0.0,660875.0,541.2
2020-09-14,1.0,0.099,0.859,0.042,0.5574,0.217,0.783,0.0,631447.0,547.38
2020-09-15,1.0,0.099,0.859,0.042,0.5574,0.217,0.783,0.0,626577.0,548.16
2020-09-16,1.0,0.099,0.859,0.042,0.5574,0.217,0.783,0.0,1004027.0,561.73
2020-09-17,1.0,0.099,0.859,0.042,0.5574,0.217,0.783,0.0,1033459.0,548.41
2020-09-18,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,2990092.0,556.92
2020-09-19,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,2990092.0,556.92
2020-09-20,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,2990092.0,556.92
2020-09-21,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,659600.0,552.59
2020-09-22,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,565647.0,550.8
2020-09-23,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,511441.0,538.54
2020-09-24,1.0,0.099,0.859,0.042,0.9885,0.093,0.867,0.04,552849.0,535.05
