,revenue,cost_without_depletion_and_amortization,operations_and_support_expense,selling_and_market_expense,research_and_development_expense,general_and_administrative_expense,depreciation_depletion_and_amortization,costs_and_expenses,operating_income_loss,interest_expense,nonoperating_income_expense,incomeloss_from_continuining_operations,income_tax_expense_benefit,income_loss_from_equity_method_investments,profit_loss,unnamed,net_income_loss,earnings_per_share_basic,earnings_per_share_diluted,weighted_average_number_of_shares_outstanding_basic,weight_average_number_of_diluted_shares_outstanding,net_income_loss_attributable_to_redeemable_noncontrolling_interest,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2021-03-01,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.6808,0.051,0.838,0.112,18482037.0,54.4
2021-03-02,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.6808,0.051,0.838,0.112,15199537.0,54.65
2021-03-03,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1005,0.07,0.857,0.073,28497381.0,56.11
2021-03-04,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1005,0.07,0.857,0.073,27409574.0,53.07
2021-03-05,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1005,0.07,0.857,0.073,31576175.0,55.54
2021-03-06 00:00:00,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1005,0.07,0.857,0.073,31576175.0,55.54
2021-03-07 00:00:00,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1005,0.07,0.857,0.073,31576175.0,55.54
2021-03-08,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1005,0.07,0.857,0.073,19912072.0,53.2
2021-03-09,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1005,0.07,0.857,0.073,17192937.0,55.25
2021-03-10,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,0.5612,0.1526666666666666,0.8063333333333333,0.041,27998868.0,57.68
2021-03-11,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,0.36062,0.1344,0.8234,0.0422,17293752.0,58.95
2021-03-12,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,0.4218,0.166,0.7775,0.0559999999999999,14839707.0,60.35
2021-03-13 00:00:00,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,0.3281333333333333,0.1573333333333333,0.8126666666666665,0.03,14839707.0,60.35
2021-03-14 00:00:00,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,0.0990333333333333,0.0776666666666666,0.868,0.054,14839707.0,60.35
2021-03-15,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,0.6637,0.141,0.782,0.077,14994521.0,60.19
2021-03-16,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1591,0.0895,0.7895,0.121,12919225.0,58.85
2021-03-17,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1591,0.0895,0.7895,0.121,25547026.0,56.36
2021-03-18,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1591,0.0895,0.7895,0.121,15742985.0,55.69
2021-03-19,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1591,0.0895,0.7895,0.121,17418716.0,57.08
2021-03-20 00:00:00,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1591,0.0895,0.7895,0.121,17418716.0,57.08
2021-03-21 00:00:00,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1591,0.0895,0.7895,0.121,17418716.0,57.08
2021-03-22,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1591,0.0895,0.7895,0.121,14149412.0,55.69
2021-03-23,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1591,0.0895,0.7895,0.121,14513457.0,53.49
2021-03-24,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1591,0.0895,0.7895,0.121,13700958.0,52.57
2021-03-25,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1591,0.0895,0.7895,0.121,13244140.0,53.89
2021-03-26,2226000000.0,502000000.0,369000000.0,1038000000.0,483000000.0,531000000.0,180000000.0,3103000000.0,-877000000.0,118000000.0,63000000.0,-932000000.0,23000000.0,-7000000.0,-962000000.0,7000000.0,-969000000.0,-0.55,-0.55,1752960000.0,1752960000.0,-10000000.0,1.0,0.106,0.833,0.061,-0.1591,0.0895,0.7895,0.121,13528233.0,54.71
