date,ticker,close,volume
2020-05-07,BLK,497.39,537095
2020-05-08,BLK,498.78,450482
2020-05-11,BLK,493.11,699593
2020-05-12,BLK,454.44,3499026
2020-05-13,BLK,485.8,9666209
2020-05-14,BLK,498.2,11804135
2020-05-15,BLK,513.73,5958063
2020-05-18,BLK,516.43,5587203
2020-05-19,BLK,501.2,2100142
2020-05-20,BLK,508.74,1496770
2020-05-21,BLK,508.51,1008635
2020-05-22,BLK,513.3,632708
2020-05-26,BLK,523.63,1064311
2020-05-27,BLK,536.4,1182106
2020-05-28,BLK,536.84,1132983
2020-05-29,BLK,528.64,1159516
2020-06-01,BLK,538.23,668535
2020-06-02,BLK,541.34,847093
2020-06-03,BLK,547.71,1071558
2020-06-04,BLK,546.19,913455
2020-06-05,BLK,556.53,1438122
2020-06-08,BLK,557.33,1133450
2020-06-09,BLK,558.06,851963
2020-06-10,BLK,558.06,779693
2020-06-11,BLK,525.21,1252052
2020-06-12,BLK,527.04,1065590
2020-06-15,BLK,543.03,1242967
2020-06-16,BLK,550.4,826883
2020-06-17,BLK,555.23,706599
2020-06-18,BLK,556.77,531785
2020-06-19,BLK,555.37,1875192
2020-06-22,BLK,553.21,478601
2020-06-23,BLK,554.65,605923
2020-06-24,BLK,538.57,868874
2020-06-25,BLK,546.97,714151
2020-06-26,BLK,534.85,1167775
2020-06-29,BLK,532.87,774366
2020-06-30,BLK,544.09,1067092
2020-07-01,BLK,544.32,549363
2020-07-02,BLK,551.77,741950
2020-07-06,BLK,557.55,703116
2020-07-07,BLK,549.23,557322
2020-07-08,BLK,557.61,435753
2020-07-09,BLK,549.44,462706
2020-07-10,BLK,554.08,489497
2020-07-13,BLK,552.56,786413
2020-07-14,BLK,561.33,567337
2020-07-15,BLK,568.59,767643
2020-07-16,BLK,566.96,729899
2020-07-17,BLK,587.72,1151651
2020-07-20,BLK,579.6,706780
2020-07-21,BLK,580.0,523283
2020-07-22,BLK,582.54,460500
2020-07-23,BLK,578.15,453666
2020-07-24,BLK,570.62,421653
2020-07-27,BLK,575.33,618478
2020-07-28,BLK,570.7,488884
2020-07-29,BLK,577.6,724859
2020-07-30,BLK,573.09,341204
2020-07-31,BLK,575.01,375919
2020-08-03,BLK,579.95,496429
2020-08-04,BLK,571.04,513122
2020-08-05,BLK,582.15,465847
2020-08-06,BLK,582.23,454989
2020-08-07,BLK,588.19,469919
2020-08-10,BLK,580.2,465750
2020-08-11,BLK,586.64,576823
2020-08-12,BLK,590.24,612238
2020-08-13,BLK,589.56,359712
2020-08-14,BLK,588.46,316662
2020-08-17,BLK,592.03,411121
2020-08-18,BLK,589.21,456208
2020-08-19,BLK,589.75,418702
2020-08-20,BLK,583.36,552425
2020-08-21,BLK,584.04,418503
2020-08-24,BLK,591.45,381895
2020-08-25,BLK,591.15,373289
2020-08-26,BLK,592.1,540161
2020-08-27,BLK,594.98,428904
2020-08-28,BLK,601.06,436069
2020-08-31,BLK,594.19,581734
2020-09-01,BLK,596.24,402818
2020-09-02,BLK,608.0,684165
2020-09-03,BLK,579.12,739199
2020-09-04,BLK,564.63,822107
2020-09-08,BLK,552.54,837253
2020-09-09,BLK,560.18,830507
2020-09-10,BLK,543.31,896239
2020-09-11,BLK,541.2,660875
2020-09-14,BLK,547.38,631447
2020-09-15,BLK,548.16,626577
2020-09-16,BLK,561.73,1004027
2020-09-17,BLK,548.41,1033459
2020-09-18,BLK,556.92,2990092
2020-09-21,BLK,552.59,659600
2020-09-22,BLK,550.8,565647
2020-09-23,BLK,538.54,511441
2020-09-24,BLK,535.05,552849
2020-09-25,BLK,547.81,486378
2020-09-28,BLK,558.65,567033
2020-09-29,BLK,554.8,409654
2020-09-30,BLK,563.55,741054
2020-10-01,BLK,567.91,551296
2020-10-02,BLK,570.12,523471
2020-10-05,BLK,580.98,435362
2020-10-06,BLK,580.23,704311
2020-10-07,BLK,592.05,573701
2020-10-08,BLK,604.44,538097
2020-10-09,BLK,611.57,525143
2020-10-12,BLK,614.89,644719
2020-10-13,BLK,638.96,1155021
2020-10-14,BLK,639.85,694202
2020-10-15,BLK,646.24,792733
2020-10-16,BLK,657.38,765570
2020-10-19,BLK,634.89,775662
2020-10-20,BLK,645.07,473550
2020-10-21,BLK,634.99,452696
2020-10-22,BLK,635.18,483384
2020-10-23,BLK,637.31,494217
2020-10-26,BLK,622.19,686099
2020-10-27,BLK,614.53,349823
2020-10-28,BLK,600.71,645648
2020-10-29,BLK,602.33,447450
2020-10-30,BLK,599.21,530463
2020-11-02,BLK,614.87,462650
2020-11-03,BLK,629.26,560556
2020-11-04,BLK,651.6,1097823
2020-11-05,BLK,668.19,714509
2020-11-06,BLK,654.9,493951
2020-11-09,BLK,666.02,870314
2020-11-10,BLK,660.6,758018
2020-11-11,BLK,670.62,455787
2020-11-12,BLK,659.79,501964
2020-11-13,BLK,669.77,664060
2020-11-16,BLK,676.43,607760
2020-11-17,BLK,667.49,768905
2020-11-18,BLK,669.89,509045
2020-11-19,BLK,673.48,471167
2020-11-20,BLK,672.71,396240
2020-11-23,BLK,682.87,505375
2020-11-24,BLK,699.3,652054
2020-11-25,BLK,703.61,401239
