,periodOfReport,ticker,pos,neg,neu,compound
273,2021-12-31,MRO,0.113,0.051,0.836,1.0
274,2022-03-31,MRO,0.077,0.037,0.885,0.9997
275,2012-09-30,MTRX,0.0,0.0,1.0,0.0
276,2012-12-31,MTRX,0.0,0.0,1.0,0.0
277,2013-03-31,MTRX,0.133,0.03,0.837,1.0
278,2013-06-30,MTRX,0.119,0.068,0.813,1.0
279,2013-09-30,MTRX,0.0,0.0,1.0,0.0
280,2013-12-31,MTRX,0.0,0.0,1.0,0.0
281,2014-03-31,MTRX,0.08,0.022,0.898,0.9999
282,2014-06-30,MTRX,0.117,0.073,0.809,1.0
283,2014-09-30,MTRX,0.133,0.034,0.833,0.9999
284,2014-12-31,MTRX,0.131,0.039,0.83,0.9999
285,2015-03-31,MTRX,0.141,0.037,0.822,1.0
286,2015-06-30,MTRX,0.121,0.079,0.8,1.0
287,2015-09-30,MTRX,0.142,0.037,0.821,0.9999
288,2015-12-31,MTRX,0.141,0.038,0.821,1.0
289,2016-03-31,MTRX,0.137,0.038,0.825,1.0
290,2016-06-30,MTRX,0.133,0.075,0.793,1.0
291,2016-09-30,MTRX,0.115,0.034,0.851,0.9999
292,2016-12-31,MTRX,0.126,0.041,0.834,1.0
293,2017-03-31,MTRX,0.126,0.051,0.824,1.0
294,2017-06-30,MTRX,0.129,0.079,0.792,1.0
295,2017-09-30,MTRX,0.121,0.043,0.836,0.9999
296,2017-12-31,MTRX,0.119,0.056,0.825,0.9999
297,2018-03-31,MTRX,0.121,0.049,0.83,1.0
298,2018-06-30,MTRX,0.1105,0.038,0.8514999999999999,1.0
299,2018-09-30,MTRX,0.117,0.04,0.843,1.0
300,2018-12-31,MTRX,0.117,0.043,0.84,1.0
301,2019-03-31,MTRX,0.12,0.044,0.836,1.0
302,2019-06-30,MTRX,0.121,0.041,0.838,1.0
303,2019-09-30,MTRX,0.116,0.043,0.841,1.0
304,2019-12-31,MTRX,0.12,0.045,0.835,1.0
305,2020-03-31,MTRX,0.121,0.053,0.826,1.0
306,2020-06-30,MTRX,0.126,0.048,0.826,1.0
307,2020-09-30,MTRX,0.116,0.037,0.846,1.0
308,2020-12-31,MTRX,0.118,0.041,0.841,1.0
309,2021-03-31,MTRX,0.119,0.043,0.838,1.0
310,2021-06-30,MTRX,0.127,0.05,0.823,1.0
311,2021-09-30,MTRX,0.12,0.04,0.84,1.0
312,2021-12-31,MTRX,0.119,0.046,0.835,1.0
313,2022-03-31,MTRX,0.113,0.046,0.841,1.0
314,2012-06-30,NFLX,0.096,0.026,0.878,0.9999
315,2012-09-30,NFLX,0.1,0.022,0.878,1.0
316,2012-12-31,NFLX,0.121,0.046,0.833,1.0
317,2013-03-31,NFLX,0.117,0.027,0.856,1.0
318,2013-06-30,NFLX,0.118,0.024,0.858,1.0
319,2013-09-30,NFLX,0.114,0.024,0.862,1.0
320,2013-12-31,NFLX,0.138,0.055,0.807,1.0
321,2014-03-31,NFLX,0.118,0.031,0.851,1.0
322,2014-06-30,NFLX,0.118,0.027,0.856,1.0
323,2014-09-30,NFLX,0.116,0.027,0.857,1.0
324,2014-12-31,NFLX,0.127,0.054,0.819,1.0
325,2015-03-31,NFLX,0.112,0.03,0.858,1.0
326,2015-06-30,NFLX,0.112,0.025,0.863,1.0
327,2015-09-30,NFLX,0.11,0.024,0.865,1.0
328,2015-12-31,NFLX,0.126,0.054,0.82,1.0
329,2016-03-31,NFLX,0.117,0.027,0.856,1.0
330,2016-06-30,NFLX,0.116,0.022,0.862,1.0
331,2016-09-30,NFLX,0.121,0.022,0.857,1.0
332,2016-12-31,NFLX,0.126,0.055,0.819,1.0
333,2017-03-31,NFLX,0.122,0.025,0.852,1.0
334,2017-06-30,NFLX,0.123,0.024,0.852,1.0
335,2017-09-30,NFLX,0.123,0.023,0.854,1.0
336,2017-12-31,NFLX,0.121,0.0595,0.82,1.0
337,2018-03-31,NFLX,0.125,0.029,0.846,1.0
338,2018-06-30,NFLX,0.126,0.025,0.849,1.0
339,2018-09-30,NFLX,0.125,0.025,0.85,1.0
340,2018-12-31,NFLX,0.126,0.064,0.81,1.0
341,2019-03-31,NFLX,0.126,0.028,0.845,1.0
342,2019-06-30,NFLX,0.131,0.027,0.842,1.0
343,2019-09-30,NFLX,0.131,0.026,0.844,1.0
344,2019-12-31,NFLX,0.119,0.053,0.828,1.0
345,2020-03-31,NFLX,0.121,0.036,0.843,1.0
346,2020-06-30,NFLX,0.113,0.034,0.853,1.0
347,2020-09-30,NFLX,0.117,0.031,0.852,1.0
348,2020-12-31,NFLX,0.12,0.058,0.822,1.0
349,2021-03-31,NFLX,0.129,0.034,0.836,1.0
350,2021-06-30,NFLX,0.116,0.033,0.85,1.0
351,2021-09-30,NFLX,0.125,0.032,0.844,1.0
352,2021-12-31,NFLX,0.118,0.057,0.824,1.0
353,2022-03-31,NFLX,0.127,0.04,0.833,0.9999
354,2015-06-30,PYPL,0.0,0.0,1.0,0.0
355,2015-09-30,PYPL,0.0,0.0,1.0,0.0
356,2016-03-31,PYPL,0.0,0.0,1.0,0.0
357,2016-06-30,PYPL,0.0,0.0,1.0,0.0
358,2016-09-30,PYPL,0.0,0.0,1.0,0.0
359,2017-03-31,PYPL,0.0,0.0,1.0,0.0
360,2017-06-30,PYPL,0.151,0.026,0.823,1.0
361,2017-09-30,PYPL,0.15,0.025,0.825,1.0
362,2018-03-31,PYPL,0.132,0.038,0.829,1.0
363,2018-06-30,PYPL,0.121,0.035,0.843,1.0
364,2018-09-30,PYPL,0.123,0.038,0.839,1.0
365,2018-12-31,PYPL,0.149,0.049,0.802,1.0
366,2019-03-31,PYPL,0.12,0.038,0.842,1.0
367,2019-06-30,PYPL,0.116,0.035,0.85,1.0
368,2019-09-30,PYPL,0.115,0.034,0.851,1.0
369,2019-12-31,PYPL,0.148,0.051,0.801,1.0
370,2020-03-31,PYPL,0.144,0.031,0.825,1.0
371,2020-06-30,PYPL,0.141,0.028,0.831,1.0
372,2020-09-30,PYPL,0.142,0.027,0.831,1.0
373,2020-12-31,PYPL,0.142,0.067,0.792,1.0
374,2021-03-31,PYPL,0.128,0.031,0.841,1.0
375,2021-06-30,PYPL,0.125,0.029,0.846,1.0
376,2021-09-30,PYPL,0.133,0.029,0.837,1.0
